
20110218,58.88,58.97,58.51,58.73,44311700
20110222,58,58.13,56.94,57.03,92393640
20110223,57,57.23,56.13,56.56,97696420
20110224,56.7,57.03,56.14,56.855,98647800
20110225,57.16,57.72,57.12,57.65,54033630
20110228,57.87,58.05,57.43,57.7689,51358310
20110301,57.99,58.02,56.695,56.84,91893330
20110302,56.82,57.511,56.79,57.14,61468180
20110303,57.68,58.365,57.67,58.265,64124160
20110304,58.25,58.26,57.59,57.9675,62306960
20110307,58.21,58.2599,56.67,57.19,98311200
20110308,57.1,57.68,56.77,57.42,62199010
20110309,57.21,57.27,56.72,57.03,84670970
20110310,56.39,56.52,55.91,56.14,102872700
20110311,55.83,56.66,55.82,56.49,81611820
