QQQ,19810108,56.18,56.22,56.18,56.22,25641
QQQ,19810109,56.22,56.24,56.22,56.23,26710
QQQ,19810110,56.24,56.24,56.18,56.19,32999
QQQ,19810111,56.18,56.19,56.15,56.16,96282
QQQ,19810112,56.17,56.18,56.13,56.15,35312
QQQ,19810113,56.15,56.16,56.13,56.15,82208
QQQ,19810114,56.16,56.22,56.14,56.22,81874
QQQ,19810115,56.21,56.22,56.18,56.2,93938
QQQ,19810116,56.2,56.23,56.2,56.21,44547
QQQ,19810117,56.21,56.21,56.18,56.18,19879
QQQ,19810118,56.18,56.19,56.14,56.16,25582
QQQ,19810119,56.16,56.18,56.13,56.15,59527
QQQ,19810120,56.16,56.17,56.14,56.17,23167
QQQ,19810121,56.17,56.17,56.12,56.15,42152
QQQ,19810122,56.15,56.15,56.1,56.1,54002
QQQ,19810123,56.11,56.12,56.09,56.12,52009
QQQ,19810124,56.13,56.19,56.11,56.19,109767
